Bdist3	braDis3	Brachypodium distachyon Bd21 (JGI v3.0)	eukaryota	Streptophyta
Mtrun4	medTru4	Medicago truncatula (Mt4.0v1)	eukaryota	Streptophyta
Graim2	gosRai2	Gossypium raimondii (Cotton v2)	eukaryota	Streptophyta
Ptric3	popTri3	Populus trichocarpa (JGI v3.0)	eukaryota	Streptophyta
Sbico3	sorBic3	Sorghum bicolor (Version 3.1)	eukaryota	Streptophyta
Oarie1	oviAri3	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia
Zmays6	zeaMay6	Zea mays B73 (Version AGPv3)	eukaryota	Streptophyta
Gmax2	glyMax2	Glycine max (soybean) (Wm82.a2)	eukaryota	Streptophyta
Rnorv6	rn6	Rattus norvegicus (Rat Jul. 2014 RGSC 6.0/rn6)	eukaryota	Mammalia
Vpaco2	vicPac2	Vicugna pacos (Alpaca Mar. 2013 Vicugna_pacos-2.0.1/vicPac2)	eukaryota	Mammalia
Osati7	orySat7	Oryza sativa Japonica Group (Japanese rice IRGSP-1.0)	eukaryota	Streptophyta
danRer10	danRer10	Danio rerio (Zebrafish Sep. 2014 GRCz10/danRer10)	eukaryota	Vertebrata
proCap1	proCap1	Procavia capensis (Rock hyrax Jul. 2008 Broad/proCap1)	eukaryota	Mammalia
pteVam1	pteVam1	Pteropus vampyrus (Megabat Jul. 2008 Broad/pteVam1)	eukaryota	Mammalia
manEsc6	manEsc6	Manihot esculenta (Cassava v6)	eukaryota	Spermatophyta
Cand_Rick_amblyommii_GAT_30V	candRick_AMBLYOMMII_GAT_30V	Candidatus Rickettsia amblyommii str. GAT-30V	bacteria	Proteobacteria	Alphaproteobacteria
Caul_cres_CB15	caulCres	Caulobacter crescentus CB15	bacteria	Proteobacteria	Alphaproteobacteria
Caul_cres_NA1000	caulCres_NA1000	Caulobacter crescentus NA1000	bacteria	Proteobacteria	Alphaproteobacteria
Caul_segn_ATCC_21756	caulSegn_ATCC21756	Caulobacter segnis ATCC 21756	bacteria	Proteobacteria	Alphaproteobacteria
Caul_K31	caulSp_K31	Caulobacter sp. K31	bacteria	Proteobacteria	Alphaproteobacteria
Cele_indi_P73	celeIndi_P73	Celeribacter indicus P73	bacteria	Proteobacteria	Alphaproteobacteria
Chel_BNC1	chelSp_BNC1	Chelativorans sp. BNC1	bacteria	Proteobacteria	Alphaproteobacteria
Dino_shib_DFL_12_DSM_16493	dinoShib_DFL_12_DSM16493	Dinoroseobacter shibae DFL 12 DSM 16493	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_cani_Jake	ehrlCani_JAKE	Ehrlichia canis str. Jake	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Arkansas	ehrlChaf_ARKANSAS	Ehrlichia chaffeensis str. Arkansas	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Heartland	ehrlChaf_HEARTLAND	Ehrlichia chaffeensis str. Heartland	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Jax	ehrlChaf_JAX	Ehrlichia chaffeensis str. Jax	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Liberty	ehrlChaf_LIBERTY	Ehrlichia chaffeensis str. Liberty	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Osceola	ehrlChaf_OSCEOLA	Ehrlichia chaffeensis str. Osceola	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Saint_Vincent	ehrlChaf_SAINT_VINCENT	Ehrlichia chaffeensis str. Saint Vincent	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_Wakulla	ehrlChaf_WAKULLA	Ehrlichia chaffeensis str. Wakulla	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_chaf_West_Paces	ehrlChaf_WEST_PACES	Ehrlichia chaffeensis str. West Paces	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_muri_AS145	ehrlMuri_AS145	Ehrlichia muris AS145	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_rumi_Gardel	ehrlRumi_GARDEL	Ehrlichia ruminantium str. Gardel	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_rumi_Welgevonden	ehrlRumi_WELGEVONDEN	Ehrlichia ruminantium str. Welgevonden	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_rumi_Welgevonden_1	ehrlRumi_WELGEVONDEN_1	Ehrlichia ruminantium str. Welgevonden	bacteria	Proteobacteria	Alphaproteobacteria
Ehrl_HF	ehrlSp_HF	Ehrlichia sp. HF	bacteria	Proteobacteria	Alphaproteobacteria
Ensi_adha_OV14	ensiAdha_OV14	Ensifer adhaerens OV14	bacteria	Proteobacteria	Alphaproteobacteria
Eryt_lito_HTCC2594	erytLito_HTCC2594	Erythrobacter litoralis HTCC2594	bacteria	Proteobacteria	Alphaproteobacteria
Gluc_diaz_PA1_5	glucDiaz_PA1_5	Gluconacetobacter diazotrophicus PA1 5	bacteria	Proteobacteria	Alphaproteobacteria
Gluc_diaz_PA1_5_PAl_5	glucDiaz_PA1_5_PAL_5	Gluconacetobacter diazotrophicus PA1 5 PAl 5	bacteria	Proteobacteria	Alphaproteobacteria
Gluc_oxyd_621H	glucOxyd_621H	Gluconobacter oxydans 621H	bacteria	Proteobacteria	Alphaproteobacteria
Gluc_oxyd_DSM_3504	glucOxyd_DSM3504	Gluconobacter oxydans DSM 3504	bacteria	Proteobacteria	Alphaproteobacteria
Gluc_oxyd_H24	glucOxyd_H24	Gluconobacter oxydans H24	bacteria	Proteobacteria	Alphaproteobacteria
Gran_beth_CGDNIH1	granBeth_CGDNIH1	Granulibacter bethesdensis CGDNIH1	bacteria	Proteobacteria	Alphaproteobacteria
Gran_beth_CGDNIH2	granBeth_CGDNIH2	Granulibacter bethesdensis CGDNIH2	bacteria	Proteobacteria	Alphaproteobacteria
Gran_beth_CGDNIH3	granBeth_CGDNIH3	Granulibacter bethesdensis CGDNIH3	bacteria	Proteobacteria	Alphaproteobacteria
Gran_beth_CGDNIH4	granBeth_CGDNIH4	Granulibacter bethesdensis CGDNIH4	bacteria	Proteobacteria	Alphaproteobacteria
Hirs_balt_ATCC_49814	hirsBalt_ATCC49814	Hirschia baltica ATCC 49814	bacteria	Proteobacteria	Alphaproteobacteria
Hyph_deni_1NES1	hyphDeni_1NES1	Hyphomicrobium denitrificans 1NES1	bacteria	Proteobacteria	Alphaproteobacteria
Hyph_deni_ATCC_51888	hyphDeni_ATCC51888	Hyphomicrobium denitrificans ATCC 51888	bacteria	Proteobacteria	Alphaproteobacteria
Hyph_nitr_NL23	hyphNitr_NL23	Hyphomicrobium nitrativorans NL23	bacteria	Proteobacteria	Alphaproteobacteria
Hyph_MC1	hyphSp_MC1	Hyphomicrobium sp. MC1	bacteria	Proteobacteria	Alphaproteobacteria
Hyph_nept_ATCC_15444	hyphNept_ATCC15444	Hyphomonas neptunium ATCC 15444	bacteria	Proteobacteria	Alphaproteobacteria
Jann_CCS1	jannSp_CCS1	Jannaschia sp. CCS1	bacteria	Proteobacteria	Alphaproteobacteria
Keto_vulg_WSH_001	ketoVulg_WSH_001	Ketogulonicigenium vulgare WSH-001	bacteria	Proteobacteria	Alphaproteobacteria
Keto_vulg_Y25	ketoVulg_Y25	Ketogulonicigenium vulgare Y25	bacteria	Proteobacteria	Alphaproteobacteria
Koma_mede_NBRC_3288	komaMede_NBRC_3288	Komagataeibacter medellinensis NBRC 3288	bacteria	Proteobacteria	Alphaproteobacteria
Koma_xyli_E25	komaXyli_E25	Komagataeibacter xylinus E25	bacteria	Proteobacteria	Alphaproteobacteria
Leis_meth_DSM_14336_MB2	leisMeth_DSM14336_MB2	Leisingera methylohalidivorans DSM 14336 MB2	bacteria	Proteobacteria	Alphaproteobacteria
Libe_cres_BT_1	libeCres_BT_1	Liberibacter crescens BT-1	bacteria	Proteobacteria	Alphaproteobacteria
Magn_mari_MC_1	magnMari_MC_1	Magnetococcus marinus MC-1	bacteria	Proteobacteria	Alphaproteobacteria
Magn_QH_2	magnSp_QH_2	Magnetospira sp. QH-2	bacteria	Proteobacteria	Alphaproteobacteria
Magn_gryp_MSR_1_v2	magnGryp_MSR_1_V2	Magnetospirillum gryphiswaldense MSR-1 v2	bacteria	Proteobacteria	Alphaproteobacteria
Magn_magn_AMB_1	magnMagn_AMB_1	Magnetospirillum magneticum AMB-1	bacteria	Proteobacteria	Alphaproteobacteria
Mari_mari_MCS10	mariMari_MCS10	Maricaulis maris MCS10	bacteria	Proteobacteria	Alphaproteobacteria
Mart_endo_YC6887	martEndo_YC6887	Martelella endophytica YC6887	bacteria	Proteobacteria	Alphaproteobacteria
Meso_aust_WSM2073	mesoAust_WSM2073	Mesorhizobium australicum WSM2073	bacteria	Proteobacteria	Alphaproteobacteria
Meso_cice_biovar_biserrulae_WSM1271	mesoCice_BISERRULAE_WSM1271	Mesorhizobium ciceri biovar biserrulae WSM1271	bacteria	Proteobacteria	Alphaproteobacteria
Meso_huak_7653R	mesoHuak_7653R	Mesorhizobium huakuii 7653R	bacteria	Proteobacteria	Alphaproteobacteria
Meso_loti_MAFF303099	mesoLoti	Mesorhizobium loti MAFF303099	bacteria	Proteobacteria	Alphaproteobacteria
Meso_oppo_WSM2075	mesoOppo_WSM2075	Mesorhizobium opportunistum WSM2075	bacteria	Proteobacteria	Alphaproteobacteria
Meth_exto_AM1	methExto_AM1	Methylobacterium extorquens AM1	bacteria	Proteobacteria	Alphaproteobacteria
Meth_exto_CM4	methExto_CM4	Methylobacterium extorquens CM4	bacteria	Proteobacteria	Alphaproteobacteria
Meth_exto_DM4	methExto_DM4	Methylobacterium extorquens DM4	bacteria	Proteobacteria	Alphaproteobacteria
Meth_exto_PA1	methExto_PA1	Methylobacterium extorquens PA1	bacteria	Proteobacteria	Alphaproteobacteria
Meth_nodu_ORS_2060	methNodu_ORS_2060	Methylobacterium nodulans ORS 2060	bacteria	Proteobacteria	Alphaproteobacteria
Meth_oryz_CBMB20	methOryz_CBMB20	Methylobacterium oryzae CBMB20	bacteria	Proteobacteria	Alphaproteobacteria
Meth_popu_BJ001	methPopu_BJ001	Methylobacterium populi BJ001	bacteria	Proteobacteria	Alphaproteobacteria
Meth_radi_JCM_2831	methRadi_JCM_2831	Methylobacterium radiotolerans JCM 2831	bacteria	Proteobacteria	Alphaproteobacteria
Meth_4_46	methSp_4_46	Methylobacterium sp. 4-46	bacteria	Proteobacteria	Alphaproteobacteria
Meth_caen_Gela4	methCaen_GELA4	Methyloceanibacter caenitepidi Gela4	bacteria	Proteobacteria	Alphaproteobacteria
Meth_silv_BL2	methSilv_BL2	Methylocella silvestris BL2	bacteria	Proteobacteria	Alphaproteobacteria
Meth_SC2	methSp_SC2	Methylocystis sp. SC2	bacteria	Proteobacteria	Alphaproteobacteria
Mica_aeru_ARL_13	micaAeru_ARL_13	Micavibrio aeruginosavorus ARL-13	bacteria	Proteobacteria	Alphaproteobacteria
Mica_aeru_EPB	micaAeru_EPB	Micavibrio aeruginosavorus EPB	bacteria	Proteobacteria	Alphaproteobacteria
Neor_gale_bv_officinalis_bv_officinalis_HAMBI_1141	neorGale_BV_OFFICINALIS_BV_OF	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141	bacteria	Proteobacteria	Alphaproteobacteria
Neor_gale_bv_orientalis_HAMBI_540	neorGale_BV_ORIENTALIS_HAMBI_5	Neorhizobium galegae bv. orientalis str. HAMBI 540	bacteria	Proteobacteria	Alphaproteobacteria
Neor_helm_Oregon	neorHelm_OREGON	Neorickettsia helminthoeca str. Oregon	bacteria	Proteobacteria	Alphaproteobacteria
Neor_rist_Illinois	neorRist_ILLINOIS	Neorickettsia risticii str. Illinois	bacteria	Proteobacteria	Alphaproteobacteria
Neor_senn_Miyayama	neorSenn_MIYAYAMA	Neorickettsia sennetsu str. Miyayama	bacteria	Proteobacteria	Alphaproteobacteria
Nitr_hamb_X14	nitrHamb_X14	Nitrobacter hamburgensis X14	bacteria	Proteobacteria	Alphaproteobacteria
Nitr_wino_Nb_255	nitrWino_NB_255	Nitrobacter winogradskyi Nb-255	bacteria	Proteobacteria	Alphaproteobacteria
Novo_arom_DSM_12444	novoArom_DSM12444	Novosphingobium aromaticivorans DSM 12444	bacteria	Proteobacteria	Alphaproteobacteria
Novo_pent_US6_1	novoPent_US6_1	Novosphingobium pentaromativorans US6-1	bacteria	Proteobacteria	Alphaproteobacteria
Novo_PP1Y	novoSp_PP1Y	Novosphingobium sp. PP1Y	bacteria	Proteobacteria	Alphaproteobacteria
Ochr_anth_ATCC_49188	ochrAnth_ATCC49188	Ochrobactrum anthropi ATCC 49188	bacteria	Proteobacteria	Alphaproteobacteria
Ochr_anth_OAB	ochrAnth_OAB	Ochrobactrum anthropi OAB	bacteria	Proteobacteria	Alphaproteobacteria
Octa_anta_307	octaAnta_307	Octadecabacter antarcticus 307	bacteria	Proteobacteria	Alphaproteobacteria
Octa_arct_238	octaArct_238	Octadecabacter arcticus 238	bacteria	Proteobacteria	Alphaproteobacteria
Olig_carb_OM4	oligCarb_OM4	Oligotropha carboxidovorans OM4	bacteria	Proteobacteria	Alphaproteobacteria
Olig_carb_OM5	oligCarb_OM5	Oligotropha carboxidovorans OM5	bacteria	Proteobacteria	Alphaproteobacteria
Olig_carb_OM5_ATCC_49405	oligCarb_OM5_ATCC49405	Oligotropha carboxidovorans OM5 ATCC 49405	bacteria	Proteobacteria	Alphaproteobacteria
Orie_tsut_Boryong	orieTsut_BORYONG	Orientia tsutsugamushi str. Boryong	bacteria	Proteobacteria	Alphaproteobacteria
Orie_tsut_Ikeda	orieTsut_IKEDA	Orientia tsutsugamushi str. Ikeda	bacteria	Proteobacteria	Alphaproteobacteria
Para_amin_JCM_7686	paraAmin_JCM_7686	Paracoccus aminophilus JCM 7686	bacteria	Proteobacteria	Alphaproteobacteria
Para_deni_PD1222	paraDeni_PD1222	Paracoccus denitrificans PD1222	bacteria	Proteobacteria	Alphaproteobacteria
Parv_lava_DS_1	parvLava_DS_1	Parvibaculum lavamentivorans DS-1	bacteria	Proteobacteria	Alphaproteobacteria
Parv_berm_HTCC2503	parvBerm_HTCC2503	Parvularcula bermudensis HTCC2503	bacteria	Proteobacteria	Alphaproteobacteria
Pela_halo_B2	pelaHalo_B2	Pelagibacterium halotolerans B2	bacteria	Proteobacteria	Alphaproteobacteria
Phae_gall_2_10	phaeGall_2_10	Phaeobacter gallaeciensis 2.10	bacteria	Proteobacteria	Alphaproteobacteria
Phae_gall_DSM_26640	phaeGall_DSM26640	Phaeobacter gallaeciensis DSM 26640	bacteria	Proteobacteria	Alphaproteobacteria
Phae_inhi_DSM_17395	phaeInhi_DSM17395	Phaeobacter inhibens DSM 17395	bacteria	Proteobacteria	Alphaproteobacteria
Phen_zuci_HLK1	phenZuci_HLK1	Phenylobacterium zucineum HLK1	bacteria	Proteobacteria	Alphaproteobacteria
Plan_temp_RCA23	planTemp_RCA23	Planktomarina temperata RCA23	bacteria	Proteobacteria	Alphaproteobacteria
Poly_gilv_SL003B_26A1	polyGilv_SL003B_26A1	Polymorphum gilvum SL003B-26A1	bacteria	Proteobacteria	Alphaproteobacteria
Pseu_FO_BEG1	pseuSp_FO_BEG1	Pseudovibrio sp. FO-BEG1	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_etli_CFN_42	rhizEtli_CFN_42	Rhizobium etli CFN 42	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_etli_CIAT_652	rhizEtli_CIAT_652	Rhizobium etli CIAT 652	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_etli_bv_mimosae_IE4771	rhizEtli_BV_MIMOSAE_IE4771	Rhizobium etli bv. mimosae str. IE4771	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_etli_bv_mimosae_Mim1	rhizEtli_BV_MIMOSAE_MIM1	Rhizobium etli bv. mimosae str. Mim1	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_etli_bv_phaseoli_IE4803	rhizEtli_BV_PHASEOLI_IE4803	Rhizobium etli bv. phaseoli str. IE4803	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_gall_bv_gallicum_R602	rhizGall_BV_GALLICUM_R602	Rhizobium gallicum bv. gallicum R602	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_legu_bv_trifolii_CB782	rhizLegu_BV_TRIFOLII_CB782	Rhizobium leguminosarum bv. trifolii CB782	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_legu_bv_trifolii_WSM1325	rhizLegu_BV_TRIFOLII_WSM1325	Rhizobium leguminosarum bv. trifolii WSM1325	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_legu_bv_trifolii_WSM1689	rhizLegu_BV_TRIFOLII_WSM1689	Rhizobium leguminosarum bv. trifolii WSM1689	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_legu_bv_trifolii_WSM2304	rhizLegu_BV_TRIFOLII_WSM2304	Rhizobium leguminosarum bv. trifolii WSM2304	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_legu_bv_viciae_3841	rhizLegu_BV_VICIAE_3841	Rhizobium leguminosarum bv. viciae 3841	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_IRBG74	rhizSp_IRBG74	Rhizobium sp. IRBG74	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_LPU83	rhizSp_LPU83	Rhizobium sp. LPU83	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_NT_26	rhizSp_NT_26	Rhizobium sp. NT-26	bacteria	Proteobacteria	Alphaproteobacteria
Rhiz_trop_CIAT_899	rhizTrop_CIAT_899	Rhizobium tropici CIAT 899	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_caps_SB_1003	rhodCaps_SB_1003	Rhodobacter capsulatus SB 1003	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_2_4_1_1	rhodSpha_2_4_1_1	Rhodobacter sphaeroides 2.4.1	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_2_4_1	rhodSpha_2_4_1	Rhodobacter sphaeroides 2.4.1	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_ATCC_17025	rhodSpha_ATCC17025	Rhodobacter sphaeroides ATCC 17025	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_ATCC_17029	rhodSpha_ATCC17029	Rhodobacter sphaeroides ATCC 17029	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_KD131_KCTC_12085	rhodSpha_KD131_KCTC_12085	Rhodobacter sphaeroides KD131 KCTC 12085	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_spha_WS8N	rhodSpha_WS8N	Rhodobacter sphaeroides WS8N	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_vann_ATCC_17100	rhodVann_ATCC17100	Rhodomicrobium vannielii ATCC 17100	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_BisA53	rhodPalu_BISA53	Rhodopseudomonas palustris BisA53	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_BisB18	rhodPalu_BISB18	Rhodopseudomonas palustris BisB18	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_BisB5	rhodPalu_BISB5	Rhodopseudomonas palustris BisB5	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_DX_1	rhodPalu_DX_1	Rhodopseudomonas palustris DX-1	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_HaA2	rhodPalu_HAA2	Rhodopseudomonas palustris HaA2	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_palu_TIE_1	rhodPalu_TIE_1	Rhodopseudomonas palustris TIE-1	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_cent_SW_ATCC_51521	rhodCent_SW_ATCC51521	Rhodospirillum centenum SW ATCC 51521	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_phot_DSM_122	rhodPhot_DSM122	Rhodospirillum photometricum DSM 122	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_rubr_ATCC_11170	rhodRubr_ATCC11170	Rhodospirillum rubrum ATCC 11170	bacteria	Proteobacteria	Alphaproteobacteria
Rhod_rubr_F11	rhodRubr_F11	Rhodospirillum rubrum F11	bacteria	Proteobacteria	Alphaproteobacteria
Rick_afri_ESF_5	rickAfri_ESF_5	Rickettsia africae ESF-5	bacteria	Proteobacteria	Alphaproteobacteria
Rick_akar_Hartford	rickAkar_HARTFORD	Rickettsia akari str. Hartford	bacteria	Proteobacteria	Alphaproteobacteria
Rick_aust_Cutlack	rickAust_CUTLACK	Rickettsia australis str. Cutlack	bacteria	Proteobacteria	Alphaproteobacteria
Rick_bell_OSU_85_389	rickBell_OSU_85_389	Rickettsia bellii OSU 85-389	bacteria	Proteobacteria	Alphaproteobacteria
Rick_bell_RML369_C	rickBell_RML369_C	Rickettsia bellii RML369-C	bacteria	Proteobacteria	Alphaproteobacteria
Rick_cana_CA410	rickCana_CA410	Rickettsia canadensis str. CA410	bacteria	Proteobacteria	Alphaproteobacteria
Rick_cana_McKiel	rickCana_MCKIEL	Rickettsia canadensis str. McKiel	bacteria	Proteobacteria	Alphaproteobacteria
Rick_cono_Malish_7	rickCono	Rickettsia conorii str. Malish 7	bacteria	Proteobacteria	Alphaproteobacteria
Rick_feli_URRWXCal2_California_2	rickFeli_URRWXCAL2_CALIFORNIA	Rickettsia felis URRWXCal2 California 2	bacteria	Proteobacteria	Alphaproteobacteria
Rick_heil_054	rickHeil_054	Rickettsia heilongjiangensis 054	bacteria	Proteobacteria	Alphaproteobacteria
Rick_helv_C9P9	rickHelv_C9P9	Rickettsia helvetica C9P9	bacteria	Proteobacteria	Alphaproteobacteria
Rick_japo_YH	rickJapo_YH	Rickettsia japonica YH	bacteria	Proteobacteria	Alphaproteobacteria
Rick_mass_MTU5	rickMass_MTU5	Rickettsia massiliae MTU5	bacteria	Proteobacteria	Alphaproteobacteria
Rick_mass_AZT80	rickMass_AZT80	Rickettsia massiliae str. AZT80	bacteria	Proteobacteria	Alphaproteobacteria
Rick_mona_IrR_Munich	rickMona_IRR_MUNICH	Rickettsia monacensis IrR/Munich	bacteria	Proteobacteria	Alphaproteobacteria
Rick_mont_OSU_85_930	rickMont_OSU_85_930	Rickettsia montanensis str. OSU 85-930	bacteria	Proteobacteria	Alphaproteobacteria
Rick_park_Portsmouth	rickPark_PORTSMOUTH	Rickettsia parkeri str. Portsmouth	bacteria	Proteobacteria	Alphaproteobacteria
Rick_peac_Rustic	rickPeac_RUSTIC	Rickettsia peacockii str. Rustic	bacteria	Proteobacteria	Alphaproteobacteria
Rick_phil_364D	rickPhil_364D	Rickettsia philipii str. 364D	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_Breinl	rickProw_BREINL	Rickettsia prowazekii str. Breinl	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_BuV67_CWPP	rickProw_BUV67_CWPP	Rickettsia prowazekii str. BuV67-CWPP	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_Chernikova	rickProw_CHERNIKOVA	Rickettsia prowazekii str. Chernikova	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_Dachau	rickProw_DACHAU	Rickettsia prowazekii str. Dachau	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_GvV257	rickProw_GVV257	Rickettsia prowazekii str. GvV257	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_Katsinyian	rickProw_KATSINYIAN	Rickettsia prowazekii str. Katsinyian	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_NMRC_Madrid_E	rickProw_NMRC_MADRID_E	Rickettsia prowazekii str. NMRC Madrid E	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_Rp22	rickProw_RP22	Rickettsia prowazekii str. Rp22	bacteria	Proteobacteria	Alphaproteobacteria
Rick_prow_RpGvF24	rickProw_RPGVF24	Rickettsia prowazekii str. RpGvF24	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rhip_3_7_female6_CWPP	rickRhip_3_7_FEMALE6_CWPP	Rickettsia rhipicephali str. 3-7-female6-CWPP	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Arizona	rickRick_ARIZONA	Rickettsia rickettsii str. Arizona	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Brazil	rickRick_BRAZIL	Rickettsia rickettsii str. Brazil	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Colombia	rickRick_COLOMBIA	Rickettsia rickettsii str. Colombia	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Hauke	rickRick_HAUKE	Rickettsia rickettsii str. Hauke	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Hino	rickRick_HINO	Rickettsia rickettsii str. Hino	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Hlp#2	rickRick_HLP#2	Rickettsia rickettsii str. Hlp#2	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Iowa	rickRick_IOWA	Rickettsia rickettsii str. Iowa	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Morgan	rickRick_MORGAN	Rickettsia rickettsii str. Morgan	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_R	rickRick_R	Rickettsia rickettsii str. R	bacteria	Proteobacteria	Alphaproteobacteria
Rick_rick_Sheila_Smith	rickRick_SHEILA_SMITH	Rickettsia rickettsii str. Sheila Smith	bacteria	Proteobacteria	Alphaproteobacteria
Rick_sibi_246	rickSibi_246	Rickettsia sibirica 246	bacteria	Proteobacteria	Alphaproteobacteria
Rick_slov_13_B	rickSlov_13_B	Rickettsia slovaca 13-B	bacteria	Proteobacteria	Alphaproteobacteria
Rick_slov_D_CWPP	rickSlov_D_CWPP	Rickettsia slovaca str. D-CWPP	bacteria	Proteobacteria	Alphaproteobacteria
Rick_typh_B9991CWPP	rickTyph_B9991CWPP	Rickettsia typhi str. B9991CWPP	bacteria	Proteobacteria	Alphaproteobacteria
Rick_typh_TH1527	rickTyph_TH1527	Rickettsia typhi str. TH1527	bacteria	Proteobacteria	Alphaproteobacteria
Rick_typh_Wilmington	rickTyph_WILMINGTON	Rickettsia typhi str. Wilmington	bacteria	Proteobacteria	Alphaproteobacteria
Rick_bact_Ac37b	rickBact_AC37B	Rickettsiales bacterium Ac37b	bacteria	Proteobacteria	Alphaproteobacteria
Rose_elon_DSM_19469_DFL_43	roseElon_DSM19469_DFL_43	Roseibacterium elongatum DSM 19469 DFL-43	bacteria	Proteobacteria	Alphaproteobacteria
Rose_deni_OCh_114	roseDeni_OCH_114	Roseobacter denitrificans OCh 114	bacteria	Proteobacteria	Alphaproteobacteria
Rose_lito_Och_149	roseLito_OCH_149	Roseobacter litoralis Och 149	bacteria	Proteobacteria	Alphaproteobacteria
Rueg_pome_DSS_3	ruegPome_DSS_3	Ruegeria pomeroyi DSS-3	bacteria	Proteobacteria	Alphaproteobacteria
Rueg_TM1040	ruegSp_TM1040	Ruegeria sp. TM1040	bacteria	Proteobacteria	Alphaproteobacteria
Sino_fred_NGR234	sinoFred_NGR234	Sinorhizobium fredii NGR234	bacteria	Proteobacteria	Alphaproteobacteria
Sino_medi_WSM419	sinoMedi_WSM419	Sinorhizobium medicae WSM419	bacteria	Proteobacteria	Alphaproteobacteria
Sino_meli_1021	sinoMeli	Sinorhizobium meliloti 1021	bacteria	Proteobacteria	Alphaproteobacteria
Sino_meli_2011	sinoMeli_2011	Sinorhizobium meliloti 2011	bacteria	Proteobacteria	Alphaproteobacteria
Sino_meli_AK83	sinoMeli_AK83	Sinorhizobium meliloti AK83	bacteria	Proteobacteria	Alphaproteobacteria
Sino_meli_BL225C	sinoMeli_BL225C	Sinorhizobium meliloti BL225C	bacteria	Proteobacteria	Alphaproteobacteria
